Trajectory Time [s]	Flow Trajectories 1_1				
-0.00450076	107.3486087	107.3486994	107.3487344	107.3486994	107.3487343
-0.00448171	107.3508666	107.3509124	107.3514454	107.3509124	107.3514454
-0.004460755	107.3442683	107.3440036	107.3428797	107.3440036	107.3428798
-0.004441703	107.3367588	107.3365672	107.3358594	107.3365672	107.3358594
-0.004422651	107.3325884	107.3324659	107.3321525	107.3324659	107.3321525
-0.004403598	107.3315802	107.3315227	107.331582	107.3315227	107.331582
-0.004384545	107.3317754	107.3317911	107.3411362	107.3317911	107.3411359
-0.004363593	107.4057534	107.4074457	107.4240406	107.4074455	107.4240403
-0.004342658	107.4864621	107.4880971	107.5041297	107.4880969	107.5041294
-0.004321738	107.5644404	107.5660203	107.5815128	107.5660201	107.5815125
-0.004300833	107.6397975	107.6413245	107.6562989	107.6413243	107.6562986
-0.004281842	107.7160722	107.7181267	107.7475135	107.7181266	107.7475134
-0.004260968	107.8126635	107.8145587	107.840641	107.8145586	107.8406409
-0.004240113	107.8978917	107.8995447	107.9223688	107.8995446	107.9223688
-0.004219272	107.9722684	107.9736956	107.9934964	107.9736956	107.9934963
-0.004198445	108.036596	108.037814	108.0387127	108.037814	108.0387127
-0.004177623	108.0254466	108.0250527	108.0194109	108.0250527	108.0194109
-0.004156797	108.006315	108.0059282	108.0031993	108.0059283	108.0031993
-0.004135891	107.9991611	107.9995435	107.9971751	107.9995435	107.9971751
-0.004114976	107.9928471	107.9932592	107.9907277	107.9932592	107.9907277
-0.00409406	107.9825496	107.9835356	107.9778627	107.9835356	107.9778627
-0.004075042	107.968105	107.9692906	107.9619435	107.9692906	107.9619435
-0.00405412	107.9527532	107.9538769	107.9464792	107.9538769	107.9464792
-0.004033195	107.9370369	107.9381905	107.9305902	107.9381905	107.9305902
-0.004017975	107.9253379	107.9279856	107.9112287	107.9279856	107.9112286
-0.003997045	107.9029874	107.9071277	107.8856431	107.9071277	107.885643
-0.003978012	107.8793432	107.883823	107.8582697	107.883823	107.8582697
-0.003957072	107.8522024	107.8563906	107.8318034	107.8563906	107.8318034
-0.003936126	107.8256323	107.8298926	107.8048843	107.8298925	107.8048843
-0.003915175	107.7973123	107.8029411	107.7694926	107.802941	107.7694925
-0.003894218	107.7610835	107.7668998	107.7362492	107.7668998	107.7362491
-0.003873253	107.7239593	107.7336259	107.6974763	107.7336259	107.6974763
-0.003854188	107.6888176	107.6948681	107.6633809	107.6948681	107.6633809
-0.00383321	107.651179	107.6573099	107.6227864	107.6573099	107.6227864
-0.003812223	107.6076775	107.6152603	107.5757888	107.6152603	107.5757888
-0.003791228	107.5605111	107.5681786	107.5282625	107.5681786	107.5282625
-0.003772133	107.5170519	107.5249164	107.4829521	107.5249165	107.4829521
-0.00375112	107.466838	107.4794074	107.4338631	107.4794074	107.4338631
-0.003730096	107.4176117	107.4303776	107.3815102	107.4303777	107.3815102
-0.003709063	107.3642199	107.3776985	107.3277202	107.3776985	107.3277202
-0.003688019	107.3102381	107.3238665	107.2733307	107.3238665	107.2733307
-0.003668879	107.2606399	107.269434	107.2217574	107.269434	107.221757
-0.003647815	107.2032868	107.2177137	107.1652089	107.2177136	107.1652088
-0.003626739	107.1467919	107.1612331	107.1078536	107.1612331	107.1078535
-0.003605652	107.0892412	107.1038353	107.0498898	107.1038353	107.0498897
-0.003584554	107.0310796	107.0458284	106.99131	107.0458284	106.9913098
-0.003565364	106.9776689	106.987205	106.930381	106.9872049	106.9303812
-0.003544243	106.9164946	106.9260371	106.8718282	106.926037	106.871828
-0.003523111	106.8583101	106.8676707	106.8132184	106.8676706	106.8132182
-0.003501967	106.7995724	106.8090219	106.7636396	106.8090218	106.7636395
-0.003482782	106.7530472	106.760415	106.7181193	106.7604149	106.7181192
-0.003463622	106.7117539	106.7190412	106.6703103	106.7190411	106.6703101
-0.003442536	106.6525396	106.6718674	106.5925557	106.6718673	106.5925554
-0.003421436	106.5740718	106.5941689	106.511594	106.5941687	106.5115937
-0.00340032	106.4923165	106.5132722	106.4271403	106.5132721	106.42714
-0.003379187	106.4070093	106.4288888	106.338936	106.4288887	106.3389357
-0.003358037	106.3175482	106.3407601	106.2227611	106.34076	106.2227605
-0.003336864	106.1769277	106.2256493	106.0795542	106.2256491	106.0795534
-0.003315662	106.0328906	106.0825258	105.9335512	106.0825254	105.9335504
-0.00329443	105.8856331	105.9366146	105.7835587	105.9366142	105.7835579
-0.003273169	105.7343097	105.786711	105.6282713	105.7867106	105.6282704
-0.003251877	105.5763862	105.631604	105.4654751	105.6316036	105.4654743
-0.003230552	105.4123188	105.4688351	105.3004158	105.4688347	105.3004151
-0.003211137	105.262027	105.3037967	105.1501752	105.3037965	105.1501746
-0.003189748	105.0965995	105.1535337	104.9835129	105.1535335	104.9835123
-0.003168326	104.9293683	104.9869084	104.8317809	104.9869081	104.8317803
-0.003146869	104.7628836	104.8351546	104.6793934	104.8351543	104.6793926
-0.003127333	104.6093364	104.682855	104.5101657	104.6828547	104.510164
-0.00310581	104.4403168	104.513617	104.3417389	104.5136163	104.341737
-0.003084253	104.2723797	104.3451347	104.1893308	104.3451339	104.189329
-0.003064625	104.1323687	104.1927328	104.0655422	104.192732	104.0655407
-0.003043008	103.9974108	104.0682738	103.9301287	104.0682731	103.9301272
-0.003021362	103.8607724	103.9329411	103.7929026	103.9329404	103.7929011
-0.002999688	103.7240349	103.7956953	103.6566451	103.7956946	103.6566437
-0.002979959	103.6008996	103.659418	103.5429538	103.6594173	103.5429526
-0.002960209	103.4983558	103.5452162	103.435159	103.5452156	103.4351578
-0.002938462	103.3907184	103.437413	103.3375019	103.4374124	103.3375008
-0.002918672	103.292075	103.3297448	103.2280542	103.3297443	103.2280525
-0.002896882	103.1831592	103.2203876	103.1198936	103.2203869	103.1198916
